admin_1,admin_2,value,season_date,season_name,year
Mashonaland East,Seke,1.234893997,2019-04-30,Main,2019
Mashonaland East,Seke,1.441602237,2018-04-30,Main,2018
Mashonaland East,Uzumba Maramba Pfungwe,0.3859975794,2022-04-30,Main,2022
Mashonaland East,Uzumba Maramba Pfungwe,0.1915642858,2021-04-30,Main,2021
Mashonaland East,Uzumba Maramba Pfungwe,0.2574853406,2020-04-30,Main,2020
Mashonaland East,Uzumba Maramba Pfungwe,0.3113778064,2019-04-30,Main,2019
Mashonaland East,Uzumba Maramba Pfungwe,0.1989144317,2018-04-30,Main,2018
Mashonaland West,Chegutu Rural,0.8594857758,2022-04-30,Main,2022
Mashonaland West,Chegutu Rural,2.480933744,2021-04-30,Main,2021
Mashonaland West,Chegutu Rural,0.8339216695,2020-04-30,Main,2020
Mashonaland West,Chegutu Rural,1.010988508,2019-04-30,Main,2019
Mashonaland West,Chegutu Rural,1.289942574,2018-04-30,Main,2018
Mashonaland West,Hurungwe,1.693251961,2022-04-30,Main,2022
Mashonaland West,Hurungwe,2.019894031,2021-04-30,Main,2021
Mashonaland West,Hurungwe,1.166506415,2020-04-30,Main,2020
Mashonaland West,Hurungwe,0.4613768495,2019-04-30,Main,2019
Mashonaland West,Hurungwe,1.300986422,2018-04-30,Main,2018
Mashonaland West,Kariba Rural,0.7615439828,2022-04-30,Main,2022
Mashonaland West,Kariba Rural,1.085982667,2021-04-30,Main,2021
Mashonaland West,Kariba Rural,0.3831590553,2020-04-30,Main,2020
Mashonaland West,Kariba Rural,0.3288842045,2019-04-30,Main,2019
Mashonaland West,Kariba Rural,0.3735037769,2018-04-30,Main,2018
Mashonaland West,Makonde,2.648174913,2022-04-30,Main,2022
Mashonaland West,Makonde,3.560794888,2021-04-30,Main,2021
Mashonaland West,Makonde,1.969214694,2020-04-30,Main,2020
Mashonaland West,Makonde,0.9850833859,2019-04-30,Main,2019
Mashonaland West,Makonde,2.486467423,2018-04-30,Main,2018
Mashonaland West,Zvimba,0.2477231611,2022-04-30,Main,2022
Mashonaland West,Zvimba,2.791063954,2021-04-30,Main,2021
Mashonaland West,Zvimba,0.9759908281,2020-04-30,Main,2020
Mashonaland West,Zvimba,1.124952916,2019-04-30,Main,2019
Mashonaland West,Zvimba,2.189764111,2018-04-30,Main,2018
Mashonaland West,Chinhoyi Urban,0.4642675247,2019-04-30,Main,2019
Mashonaland West,Chinhoyi Urban,,2018-04-30,Main,2018
Mashonaland West,Mhondoro-Ngezi,0.7616294775514615,2022-04-30,Main,2022
Mashonaland West,Mhondoro-Ngezi,1.1835008784441532,2021-04-30,Main,2021
Mashonaland West,Mhondoro-Ngezi,0.2836728121905996,2020-04-30,Main,2020
Mashonaland West,Mhondoro-Ngezi,0.5235224484897819,2019-04-30,Main,2019
Mashonaland West,Mhondoro-Ngezi,0.7099167046537649,2018-04-30,Main,2018
Mashonaland West,Sanyati,0.5882766706,2022-04-30,Main,2022
Mashonaland West,Sanyati,1.230424303,2021-04-30,Main,2021
Mashonaland West,Sanyati,0.396081084,2020-04-30,Main,2020
Mashonaland West,Sanyati,0.3956888402,2019-04-30,Main,2019
Mashonaland West,Sanyati,0.9291636408,2018-04-30,Main,2018
Matabeleland North,Binga,0.2690492535,2022-04-30,Main,2022
Matabeleland North,Binga,0.7612054398,2021-04-30,Main,2021
Matabeleland North,Binga,0.2531359679,2020-04-30,Main,2020
Matabeleland North,Binga,0.1141174633,2019-04-30,Main,2019
Matabeleland North,Binga,0.2842574303,2018-04-30,Main,2018
Matabeleland North,Bubi,0.2525434568,2022-04-30,Main,2022
Matabeleland North,Bubi,1.009827478,2021-04-30,Main,2021
Matabeleland North,Bubi,0.4396500694,2020-04-30,Main,2020
Matabeleland North,Bubi,0.4135882685,2019-04-30,Main,2019
Matabeleland North,Bubi,0.6569224236,2018-04-30,Main,2018
Matabeleland North,Lupane,0.1265591511,2022-04-30,Main,2022
Matabeleland North,Lupane,0.6006952461,2021-04-30,Main,2021
Matabeleland North,Lupane,0.1004596492,2020-04-30,Main,2020
Matabeleland North,Lupane,0.06139454468,2019-04-30,Main,2019
Matabeleland North,Lupane,0.2833719633,2018-04-30,Main,2018
Matabeleland North,Nkayi,0.2076899902,2022-04-30,Main,2022
Matabeleland North,Nkayi,0.5591284485,2021-04-30,Main,2021
Matabeleland North,Nkayi,0.1907354217,2020-04-30,Main,2020
Matabeleland North,Nkayi,0.09393658927,2019-04-30,Main,2019
Matabeleland North,Nkayi,0.2170845963,2018-04-30,Main,2018
Matabeleland North,Tsholotsho,0.2562069221,2022-04-30,Main,2022
Matabeleland North,Tsholotsho,0.6474480789,2021-04-30,Main,2021
Matabeleland North,Tsholotsho,0.1251804762,2020-04-30,Main,2020
Matabeleland North,Tsholotsho,0.06934560583,2019-04-30,Main,2019
Matabeleland North,Tsholotsho,0.3506380194,2018-04-30,Main,2018
Matabeleland North,Umguza,0.2540479849,2022-04-30,Main,2022
Matabeleland North,Umguza,1.348434312,2021-04-30,Main,2021
Matabeleland North,Umguza,0.261107987,2020-04-30,Main,2020
Matabeleland North,Umguza,0.1853175418,2019-04-30,Main,2019
Matabeleland North,Umguza,0.639874739,2018-04-30,Main,2018
Matabeleland North,Hwange Rural,0.1701590132,2022-04-30,Main,2022
Matabeleland North,Hwange Rural,0.4879923598,2021-04-30,Main,2021
Matabeleland North,Hwange Rural,0.3372061496,2020-04-30,Main,2020
Matabeleland North,Hwange Rural,0.08243277205,2019-04-30,Main,2019
Matabeleland North,Hwange Rural,0.4799046322,2018-04-30,Main,2018
Matabeleland South,Beitbridge Rural,0.1448045267,2022-04-30,Main,2022
Matabeleland South,Beitbridge Rural,0.6881988363,2021-04-30,Main,2021
Matabeleland South,Beitbridge Rural,0.02705230805,2020-04-30,Main,2020
Matabeleland South,Beitbridge Rural,0.1974789916,2019-04-30,Main,2019
Matabeleland South,Beitbridge Rural,0.170132664,2018-04-30,Main,2018
Matabeleland South,Bulilima,0.1501123596,2022-04-30,Main,2022
Matabeleland South,Bulilima,0.5901894819,2021-04-30,Main,2021
Matabeleland South,Bulilima,0.1885154137,2020-04-30,Main,2020
Matabeleland South,Bulilima,0.09195865199,2019-04-30,Main,2019
Matabeleland South,Bulilima,0.3386847793,2018-04-30,Main,2018
Matabeleland South,Mangwe,0.123480048,2022-04-30,Main,2022
Matabeleland South,Mangwe,0.4512128169,2021-04-30,Main,2021
Matabeleland South,Mangwe,0.07032051971,2020-04-30,Main,2020
Matabeleland South,Mangwe,0.05408575337,2019-04-30,Main,2019
Matabeleland South,Mangwe,0.2070778564,2018-04-30,Main,2018
Matabeleland South,Gwanda Rural,0.3055874729,2022-04-30,Main,2022
Matabeleland South,Gwanda Rural,0.596586745,2021-04-30,Main,2021
Matabeleland South,Gwanda Rural,0.1142345187,2020-04-30,Main,2020
Matabeleland South,Gwanda Rural,0.04639251416,2019-04-30,Main,2019
Matabeleland South,Gwanda Rural,0.2964495126,2018-04-30,Main,2018
Matabeleland South,Insiza,0.5235086723,2022-04-30,Main,2022
Matabeleland South,Insiza,0.8004021495,2021-04-30,Main,2021
Matabeleland South,Insiza,0.5124935234,2020-04-30,Main,2020
Matabeleland South,Insiza,0.3292329571,2019-04-30,Main,2019
Matabeleland South,Insiza,1.212899891,2018-04-30,Main,2018
Matabeleland South,Matobo,0.2105516909,2022-04-30,Main,2022
Matabeleland South,Matobo,0.4935358736,2021-04-30,Main,2021
Matabeleland South,Matobo,0.1686931142,2020-04-30,Main,2020
Matabeleland South,Matobo,0.2110610602,2019-04-30,Main,2019
Matabeleland South,Matobo,0.4307252661,2018-04-30,Main,2018
Matabeleland South,Umzingwane,0.2843621832,2022-04-30,Main,2022
Matabeleland South,Umzingwane,0.9030832558,2021-04-30,Main,2021
Matabeleland South,Umzingwane,0.3608038715,2020-04-30,Main,2020
Matabeleland South,Umzingwane,0.1336417025,2019-04-30,Main,2019
Matabeleland South,Umzingwane,0.9197591788,2018-04-30,Main,2018
Midlands,Chirumhanzu,0.6505509201,2022-04-30,Main,2022
Midlands,Chirumhanzu,1.188536115,2021-04-30,Main,2021
Midlands,Chirumhanzu,0.357663556,2020-04-30,Main,2020
Midlands,Chirumhanzu,0.3936508449,2019-04-30,Main,2019
Midlands,Chirumhanzu,1.001722752,2018-04-30,Main,2018
Midlands,Gokwe North,0.3525478229,2022-04-30,Main,2022
Midlands,Gokwe North,0.6674913561,2021-04-30,Main,2021
Midlands,Gokwe North,0.4227074942,2020-04-30,Main,2020
Midlands,Gokwe North,0.1469766926,2019-04-30,Main,2019
Midlands,Gokwe North,0.4763598204,2018-04-30,Main,2018
Midlands,Gokwe South Rural,0.338514193,2022-04-30,Main,2022
Midlands,Gokwe South Rural,0.8090885095,2021-04-30,Main,2021
Midlands,Gokwe South Rural,0.3797556278,2020-04-30,Main,2020
Midlands,Gokwe South Rural,0.2495228737,2019-04-30,Main,2019
Midlands,Gokwe South Rural,0.4885102195,2018-04-30,Main,2018
Midlands,Gweru Rural,0.3614308189,2022-04-30,Main,2022
Midlands,Gweru Rural,0.5965459359,2021-04-30,Main,2021
Midlands,Gweru Rural,0.270526799,2020-04-30,Main,2020
Midlands,Gweru Rural,0.4083783313,2019-04-30,Main,2019
Midlands,Gweru Rural,1.374989413,2018-04-30,Main,2018
Midlands,Kwekwe Rural,0.5585419345,2022-04-30,Main,2022
Midlands,Kwekwe Rural,1.08121287,2021-04-30,Main,2021
Midlands,Kwekwe Rural,0.5727451614,2020-04-30,Main,2020
Midlands,Kwekwe Rural,0.3742133538,2019-04-30,Main,2019
Midlands,Kwekwe Rural,0.8298463219,2018-04-30,Main,2018
Midlands,Mberengwa,0.327125238,2022-04-30,Main,2022
Midlands,Mberengwa,0.5800153734,2021-04-30,Main,2021
Midlands,Mberengwa,0.2309928521,2020-04-30,Main,2020
Midlands,Mberengwa,0.2365053511,2019-04-30,Main,2019
Midlands,Mberengwa,0.5980154259,2018-04-30,Main,2018
Midlands,Shurugwi Rural,0.467526662,2022-04-30,Main,2022
Midlands,Shurugwi Rural,0.8175970825,2021-04-30,Main,2021
Midlands,Shurugwi Rural,0.4187696853,2020-04-30,Main,2020
Midlands,Shurugwi Rural,0.2928169014,2019-04-30,Main,2019
Midlands,Shurugwi Rural,0.9507398389,2018-04-30,Main,2018
Midlands,Zvishavane Rural,0.3788786064,2022-04-30,Main,2022
Midlands,Zvishavane Rural,0.7872111573,2021-04-30,Main,2021
Midlands,Zvishavane Rural,0.2848494745,2020-04-30,Main,2020
Midlands,Zvishavane Rural,0.3243096914,2019-04-30,Main,2019
Midlands,Zvishavane Rural,0.6592064062,2018-04-30,Main,2018
Masvingo,Bikita,0.1293384841,2022-04-30,Main,2022
Masvingo,Bikita,0.3963909287,2021-04-30,Main,2021
Masvingo,Bikita,0.2611126208,2020-04-30,Main,2020
Masvingo,Bikita,0.2271833024,2019-04-30,Main,2019
Masvingo,Bikita,0.4253425255,2018-04-30,Main,2018
Masvingo,Chiredzi Rural,0.2104155007,2022-04-30,Main,2022
Masvingo,Chiredzi Rural,0.6179423834,2021-04-30,Main,2021
Masvingo,Chiredzi Rural,0.2189407252,2020-04-30,Main,2020
Masvingo,Chiredzi Rural,0.4227584365,2019-04-30,Main,2019
Masvingo,Chiredzi Rural,0.3884544618,2018-04-30,Main,2018
Masvingo,Chivi,0.2902008074,2022-04-30,Main,2022
Masvingo,Chivi,0.3120567028,2021-04-30,Main,2021
Masvingo,Chivi,0.1145875641,2020-04-30,Main,2020
Masvingo,Chivi,0.2373615415,2019-04-30,Main,2019
Masvingo,Chivi,0.3155094162,2018-04-30,Main,2018
Masvingo,Gutu,0.3171577123,2022-04-30,Main,2022
Masvingo,Gutu,0.627916786,2021-04-30,Main,2021
