admin_2,cultivar,crps,ss,los,cultivar_type
Bulilima,KY0015,128.18993333333336,0.31571209964412805,101.0,Short
Bulilima,KY0001,130.36260000000001,0.30411423487544476,130.0,Long
Gwanda Rural,KY0002,157.33513333333335,0.3735827471798274,116.0,Medium
Gwanda Rural,KY0013,164.7834477578787,0.3439278788671054,127.0,Long
Gwanda Rural,KY0003,165.36310648340967,0.34162001400102315,132.0,Long
Gwanda Rural,KY0010,168.3756435096487,0.3296258387140728,123.0,Long
Gwanda Rural,KY0001,180.75284879274838,0.2803469855630456,127.0,Long
Insiza,KY0013,107.08893333333333,0.3606630845771145,144.0,Long
Insiza,KY0002,123.81893333333328,0.26078248756218936,130.0,Medium
Insiza,KY0003,130.87266666666662,0.21867064676616943,147.0,Long
Insiza,KY0010,148.98246666666662,0.11055243781094548,138.0,Long
Insiza,KY0009,149.43033333333324,0.1078786069651747,115.0,Short
Mangwe,KY0002,124.50793333333331,0.3323971403038428,121.0,Medium
Mangwe,KY0013,126.45237119341562,0.321971200035305,132.0,Long
Mangwe,KY0003,131.12583045267488,0.2969124372510731,138.0,Long
Mangwe,KY0001,151.27043873386083,0.18889845182916443,134.0,Long
Mangwe,KY0017,157.53159999999994,0.15532654155496006,87.0,Very short
Matobo,KY0013,112.31093333333331,0.4195817398794144,131.0,Long
Matobo,KY0002,114.63879999999999,0.4075514211886305,124.0,Medium
Matobo,KY0003,117.87106666666664,0.3908472006890613,137.0,Long
Matobo,KY0001,140.76233333333326,0.272546080964686,134.5,Long
Matobo,KY0010,142.21833333333325,0.26502153316106847,130.0,Long
Umzingwane,KY0015,256.50346666666667,0.3178099290780142,112.0,Short
Umzingwane,KY0010,277.25566666666674,0.26261790780141825,139.0,Long
Umzingwane,ZM0003,278.97639999999996,0.25804148936170224,111.0,Short
Umzingwane,KY0017,297.38213333333346,0.2090900709219855,92.0,Very short
Umzingwane,KY0005,297.93,0.20763297872340425,141.0,Long
Chirumhanzu,990002,218.89079999999998,0.3819553882352942,125.0,Medium
Chirumhanzu,ZM0002,232.21126666666672,0.34434465882352927,131.0,Medium
Chirumhanzu,KY0018,240.34493333333333,0.32137901176470596,114.0,Short
Chirumhanzu,KY0005,243.70413333333343,0.31189421176470566,146.0,Long
Chirumhanzu,ZM0001,244.62126666666677,0.3093046588235292,128.0,Medium
Gokwe North,KY0003,131.78153333333339,0.007918193224591863,123.0,Long
Gokwe South Rural,ZM0003,122.1238411381239,0.14683943316679915,103.0,Short
Gokwe South Rural,KY0003,124.07886341405109,0.13318159291581078,134.0,Long
Gokwe South Rural,KY0013,124.74997899032608,0.12849316074622497,131.0,Long
Gokwe South Rural,KY0001,127.74790549462436,0.10754956241280378,131.0,Long
Gokwe South Rural,KY0010,132.50692098975148,0.07430294717738484,127.0,Long
Gweru Rural,KY0013,115.79466666666667,0.3003343403826787,149.0,Long
Gweru Rural,KY0017,130.50433333333328,0.21145417925478383,93.0,Very short
Gweru Rural,KY0009,132.61586666666662,0.19869566968781494,120.0,Short
Gweru Rural,KY0003,135.3636,0.1820930513595167,153.0,Long
Gweru Rural,KY0002,138.27173333333323,0.1645212487411889,136.0,Medium
Kwekwe Rural,ZM0002,242.17120905349807,0.3832651721897333,120.0,Medium
Kwekwe Rural,ZM0003,249.68359877828698,0.36413344963084815,108.0,Short
Kwekwe Rural,990003,265.24536761184646,0.32450245939258116,94.0,Very short
Kwekwe Rural,KY0005,267.85119055379533,0.31786623797844993,136.0,Long
Kwekwe Rural,990002,271.9477551833409,0.3074335606536309,115.0,Medium
Mberengwa,KY0013,155.05086666666668,0.27489851909586904,137.0,Long
Mberengwa,KY0003,173.84293333333332,0.18701667965705393,141.0,Long
Mberengwa,KY0015,175.45646666666664,0.17947092751364002,106.0,Short
Mberengwa,KY0009,179.36666666666665,0.16118472330475464,110.0,Short
Mberengwa,KY0002,182.1160666666667,0.14832704598597024,124.0,Medium
Shurugwi Rural,ZM0003,167.61686666666665,0.2544839140103782,112.0,Short
Shurugwi Rural,KY0013,182.89093333333344,0.18654885100074092,147.0,Long
Shurugwi Rural,KY0001,190.3974666666667,0.1531617494440325,145.0,Long
Shurugwi Rural,KY0003,195.91580000000008,0.1286176426982948,151.0,Long
Shurugwi Rural,KY0010,197.86520000000004,0.11994722016308357,140.0,Long
Zvishavane Rural,KY0013,169.78133333333338,0.23807928197456973,139.0,Long
Zvishavane Rural,KY0003,176.28460000000004,0.2088948391922213,144.0,Long
Zvishavane Rural,ZM0003,179.24966666666668,0.19558863126402393,106.0,Short
Zvishavane Rural,KY0002,189.28233333333336,0.15056544502617797,125.0,Medium
Zvishavane Rural,KY0009,190.7272,0.14408137621540762,111.0,Short
Chipinge Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Chipinge Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Chipinge Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Chinhoyi Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Chinhoyi Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Chinhoyi Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Gokwe South Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Gokwe South Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Gokwe South Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Victoria Falls,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Victoria Falls,KY0002,197.99526253452242,0.2606847462765248,124.125,
Victoria Falls,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Kwekwe Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Kwekwe Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Kwekwe Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Karoi Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Karoi Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Karoi Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Kadoma Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Kadoma Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Kadoma Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Rusape Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Rusape Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Rusape Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Marondera Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Marondera Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Marondera Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Harare,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Harare,KY0002,197.99526253452242,0.2606847462765248,124.125,
Harare,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Kariba Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Kariba Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Kariba Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Zvishavane Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Zvishavane Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Zvishavane Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Gwanda Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Gwanda Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Gwanda Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Chegutu Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Chegutu Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Chegutu Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Bindura Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Bindura Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Bindura Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Ruwa,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Ruwa,KY0002,197.99526253452242,0.2606847462765248,124.125,
Ruwa,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Epworth,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Epworth,KY0002,197.99526253452242,0.2606847462765248,124.125,
Epworth,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Chitungwiza,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Chitungwiza,KY0002,197.99526253452242,0.2606847462765248,124.125,
Chitungwiza,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Hwange Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Hwange Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Hwange Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Chiredzi Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Chiredzi Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Chiredzi Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Shurugwi Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Shurugwi Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Shurugwi Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Gweru Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Gweru Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Gweru Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Beitbridge Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Beitbridge Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Beitbridge Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Masvingo Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Masvingo Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Masvingo Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Plumtree,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Plumtree,KY0002,197.99526253452242,0.2606847462765248,124.125,
Plumtree,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Redcliff,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Redcliff,KY0002,197.99526253452242,0.2606847462765248,124.125,
Redcliff,KY0013,158.11428229731803,0.24798921940212454,132.921875,
Mutare Urban,KY0003,184.27200939376186,0.230633015160022,139.74074074074073,
Mutare Urban,KY0002,197.99526253452242,0.2606847462765248,124.125,
Mutare Urban,KY0013,158.11428229731803,0.24798921940212454,132.921875,
